Geography,sex,date,Labour force 5,Employment 6,Unemployment 7
Alberta,Females,2015-10-01,1105.00,1041.30,63.70
Alberta,Females,2015-11-01,1106.70,1042.00,64.70
Alberta,Females,2015-12-01,1103.80,1038.50,65.30
Alberta,Females,2016-01-01,1109.00,1037.60,71.40
Alberta,Females,2016-02-01,1124.40,1040.30,84.10
Alberta,Females,2016-03-01,1113.50,1041.00,72.50
Alberta,Females,2016-04-01,1109.40,1029.80,79.60
Alberta,Females,2016-05-01,1100.60,1020.80,79.80
Alberta,Females,2016-06-01,1099.90,1022.30,77.50
Alberta,Females,2016-07-01,1109.70,1026.90,82.70
Alberta,Females,2016-08-01,1108.10,1028.40,79.80
Alberta,Females,2016-09-01,1112.20,1027.90,84.30
Alberta,Females,2016-10-01,1119.30,1037.10,82.30
Alberta,Females,2016-11-01,1119.10,1034.50,84.70
Alberta,Females,2016-12-01,1115.50,1032.50,82.90
Alberta,Females,2017-01-01,1130.40,1042.50,87.80
Alberta,Females,2017-02-01,1115.30,1037.60,77.60
Alberta,Females,2017-03-01,1128.80,1044.70,84.10
Alberta,Females,2017-04-01,1120.50,1040.80,79.60
Alberta,Females,2017-05-01,1121.20,1041.30,79.90
Alberta,Females,2017-06-01,1120.90,1044.00,76.90
Alberta,Females,2017-07-01,1123.50,1035.50,88.00
Alberta,Females,2017-08-01,1117.40,1029.40,88.00
Alberta,Females,2017-09-01,1120.40,1036.90,83.50
Alberta,Females,2017-10-01,1118.50,1041.60,76.90
Alberta,Females,2017-11-01,1124.30,1040.40,83.90
Alberta,Females,2017-12-01,1133.70,1055.90,77.80
Alberta,Females,2018-01-01,1124.50,1053.40,71.10
Alberta,Females,2018-02-01,1124.00,1056.80,67.20
Alberta,Females,2018-03-01,1126.50,1061.80,64.80
Alberta,Females,2018-04-01,1131.50,1062.50,69.00
Alberta,Females,2018-05-01,1135.30,1060.80,74.50
Alberta,Females,2018-06-01,1134.50,1057.10,77.40
Alberta,Females,2018-07-01,1139.40,1066.60,72.90
Alberta,Females,2018-08-01,1155.00,1080.30,74.70
Alberta,Females,2018-09-01,1143.10,1070.60,72.40
Alberta,Females,2018-10-01,1143.70,1068.50,75.20
Alberta,Females,2018-11-01,1145.30,1084.80,60.50
Alberta,Females,2018-12-01,1147.80,1080.00,67.80
Alberta,Females,2019-01-01,1144.20,1074.70,69.50
Alberta,Females,2019-02-01,1153.90,1075.00,78.90
Alberta,Females,2019-03-01,1146.20,1070.70,75.50
Alberta,Females,2019-04-01,1153.60,1081.20,72.30
Alberta,Females,2019-05-01,1155.30,1086.30,69.00
Alberta,Females,2019-06-01,1159.20,1087.30,71.90
Alberta,Females,2019-07-01,1148.30,1077.00,71.30
Alberta,Females,2019-08-01,1145.60,1080.20,65.40
Alberta,Females,2019-09-01,1153.40,1086.10,67.30
Alberta,Females,2019-10-01,1158.70,1089.60,69.10
Alberta,Females,2019-11-01,1150.80,1076.40,74.40
Alberta,Females,2019-12-01,1147.10,1074.70,72.40
Alberta,Females,2020-01-01,1147.40,1063.60,83.80
Alberta,Females,2020-02-01,1149.80,1072.10,77.70
Alberta,Females,2020-03-01,1098.80,999.60,99.20
Alberta,Females,2020-04-01,1030.70,882.30,148.40
Alberta,Females,2020-05-01,1042.90,889.60,153.30
Alberta,Females,2020-06-01,1100.20,940.50,159.80
Alberta,Females,2020-07-01,1115.30,981.40,134.00
Alberta,Females,2020-08-01,1109.90,987.70,122.20
